"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\pinch.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\poke.js", "JavaScript", 0, 35, 0, 0, 1, 4, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\pout.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\punch.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\roll.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\run.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sad.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\scared.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\shrug.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\shy.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sigh.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sip.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\slap.js", "JavaScript", 0, 41, 0, 0, 1, 5, 47
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sleep.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smack.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smile.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smug.js", "JavaScript", 0, 26, 0, 0, 1, 5, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sorry.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\stare.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\surprised.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\thumbsup.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\tickle.js", "JavaScript", 0, 33, 0, 0, 1, 6, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\tired.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\wave.js", "JavaScript", 0, 37, 0, 0, 1, 2, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\wink.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yawn.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yay.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yes.js", "JavaScript", 0, 35, 0, 0, 1, 2, 38
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\8ball.js", "JavaScript", 0, 28, 0, 0, 1, 3, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\anime.js", "JavaScript", 0, 41, 0, 0, 1, 4, 46
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\ascii.js", "JavaScript", 0, 27, 0, 0, 1, 6, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\choose.js", "JavaScript", 0, 29, 0, 0, 1, 4, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\clyde.js", "JavaScript", 0, 33, 0, 0, 1, 5, 39
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\dare.js", "JavaScript", 0, 139, 0, 0, 1, 5, 145
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\drip.js", "JavaScript", 0, 27, 0, 0, 6, 2, 35
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\emojify.js", "JavaScript", 0, 42, 0, 0, 1, 8, 51
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\fact.js", "JavaScript", 0, 71, 0, 0, 1, 8, 80
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\gayrate.js", "JavaScript", 0, 26, 0, 0, 1, 4, 31
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\imdb.js", "JavaScript", 0, 59, 0, 0, 1, 5, 65
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\joke.js", "JavaScript", 0, 27, 0, 0, 1, 5, 33
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\meme.js", "JavaScript", 0, 28, 0, 0, 1, 4, 33
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\monke.js", "JavaScript", 0, 31, 0, 0, 1, 2, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\penis.js", "JavaScript", 0, 34, 0, 0, 1, 4, 39
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\phcomment.js", "JavaScript", 0, 46, 0, 0, 1, 4, 51
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\rip.js", "JavaScript", 0, 26, 0, 0, 1, 3, 30
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\simprate.js", "JavaScript", 0, 26, 0, 0, 1, 4, 31
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\tobecontinued.js", "JavaScript", 0, 26, 0, 0, 1, 3, 30
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\triggered.js", "JavaScript", 0, 26, 0, 0, 1, 3, 30
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\truth.js", "JavaScript", 0, 318, 0, 0, 1, 4, 323
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\fun\xd.js", "JavaScript", 0, 19, 0, 0, 1, 4, 24
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\info\channel.js", "JavaScript", 0, 114, 0, 0, 1, 6, 121
