Date : 2021-03-01 14:22:51
Directory : c:\Users\chord\Documents\GitHub\Nuggies
Total : 161 files,  12083 codes, 271 comments, 632 blanks, all 12986 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\happy.js        | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\headbang.js     | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\hug.js          | JavaScript |         27 |          1 |          3 |         31 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\kiss.js         | JavaScript |         29 |          1 |          5 |         35 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\laugh.js        | JavaScript |         26 |          1 |          4 |         31 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\lick.js         | JavaScript |         33 |          1 |          5 |         39 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\love.js         | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\mad.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\nervous.js      | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\no.js           | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\nom.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\pat.js          | JavaScript |         29 |          1 |          5 |         35 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\peek.js         | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\pinch.js        | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\poke.js         | JavaScript |         35 |          1 |          4 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\pout.js         | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\punch.js        | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\roll.js         | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\run.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sad.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\scared.js       | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\shrug.js        | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\shy.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sigh.js         | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sip.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\slap.js         | JavaScript |         41 |          1 |          5 |         47 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sleep.js        | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smack.js        | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smile.js        | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\smug.js         | JavaScript |         26 |          1 |          5 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\sorry.js        | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\stare.js        | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\surprised.js    | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\thumbsup.js     | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\tickle.js       | JavaScript |         33 |          1 |          6 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\tired.js        | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\wave.js         | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\wink.js         | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yawn.js         | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yay.js          | JavaScript |         35 |          1 |          2 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\action\yes.js          | JavaScript |         35 |          1 |          2 |         38 |
